EVENT,TYPE,HOURS
A17.020,CAI,2
A17.030,ICW,2
A17.040,CAI,2
TRAINING HOURS,,6
,,
DAY 164,,
EVENT,TYPE,HOURS
A17.140,ICW,2
A17.160,IGR,3
A17.170,JMPS 6,1.5
A17.180,CRT,0.5
A17.150,OPEN BOOK ,0.5
,ISSUE,
TRAINING HOURS,,7.5
,,
DAY 169,,
EVENT,TYPE,HOURS
A18.060, CAI,4
A18.070,CLOSED BK,3
,EXAM,
TRAINING HOURS,,7
,,
DAY 174,,
EVENT,TYPE,HOURS
A18.140,MSN PLN,3
A18.150,AC NATOPS X,5
,,
,,
,,
TRAINING HOURS,,8
,,
,,
,,
,,
,,
,,
DAY 5,,
EVENT,TYPE,HOURS
A1.020,CAI,0.5
A1.030,CAI,2
A1.040,CAI,2
A1.050,ICW,2
TRAINING HOURS,,6.5
,,
DAY 10,,
EVENT,TYPE,HOURS
A2.090,ICW,3
A2.100,ICW,3
A2.110,ICW,2
,,
TRAINING HOURS,,8
,,
DAY 15,,
EVENT,TYPE,HOURS
A2.240,ICW,2
A2.250,ICW,2
A2.260,ICW,2
A2.270,ICW,2
TRAINING HOURS,,8
,,
DAY 20,,
EVENT,TYPE,HOURS
A3.080,SAC F,8
,,
,,
TRAINING HOURS,,8
,,
DAY 25,,
EVENT,TYPE,HOURS
A4.070,ICW,2
A4.080,ICW,2
A4.090,ICW,2
A4.100,ICW,2
TRAINING HOURS,,8
,,
DAY 30,,
EVENT,TYPE,HOURS
A4.200,MSN PLN,3
A4.210,AC NVD 1,5
,,
,,
,,
TRAINING HOURS,,8
,,
DAY 35,,
EVENT,TYPE,HOURS
A5.170,ICW,2
A5.180,ICW,2
A5.190,ICW,2
A5.200,ICW,2
,,
,,
TRAINING HOURS,,8
,,
DAY 40,,
EVENT,TYPE,HOURS
A5.300,MSN PLN,3
A5.310,NATS SAR 2,3
,,
,,
,,
,,
,,
TRAINING HOURS,,6
,,
DAY 45,,
EVENT,TYPE,HOURS
A5.450,CAI,1
A5.460,LAB,7
,,
,,
TRAINING HOURS,,8
,,
DAY 50,,
EVENT,TYPE,HOURS
A6.010,CAI,2
A6.020,ICW,2
A6.030,ICW,2
,,
TRAINING HOURS,,6
,,
DAY 55,,
EVENT,TYPE,HOURS
A6.140,MSN PLN,3
A6.150,NATS UTIL 3,3
,VERTREP,
,,
TRAINING HOURS,,6
,,
DAY 60,,
EVENT,TYPE,HOURS
A6.250,PT,4
A6.260,CRT,0.5
,,
,,
TRAINING HOURS,,4.5
,,
DAY 65,,
EVENT,TYPE,HOURS
A7.060,JMPS 1,1.5
A7.070,JMPS 2,1
A7.080,ICW,4
,,
,,
TRAINING HOURS,,6.5
,,
DAY 70,,
EVENT,TYPE,HOURS
A7.190,MSN PLN,3
A7.200,AC SUW 1,5
,,
TRAINING HOURS,,8
,,
DAY 75,,
EVENT,TYPE,HOURS
A7.290,MSN PLN,3
A7.300,AC SUW 3,5
,,
,,
TRAINING HOURS,,8
,,
DAY 80,,
EVENT,TYPE,HOURS
A8.090,MSN PLN,3
A8.100,WTT 4,4
,,
,,
A8.110,PTT 6,
TRAINING HOURS,,7
,,
DAY 85,,
EVENT,TYPE,HOURS
A8.260,PMA LAB,2
A8.270,IGR,3
A8.280,PT,1
A8.290,CRT,0.5
,NAWS PART 1,
TRAINING HOURS,,6.5
,,
DAY 90,,
EVENT,TYPE,HOURS
A9.080,CAI,2
A9.090,CAI,2
A9.100,CAI,2
A9.110,ICW,1
,,
A9.060,DTTT 1,
TRAINING HOURS,,7
,,
DAY 95,,
EVENT,TYPE,HOURS
A9.180,MSN PLN,3
A9.190,WTT 8,4
,,
,,
,,
,,
TRAINING HOURS,,7
,,
DAY 100,,
EVENT,TYPE,HOURS
A9.340,MSN PLN,3
A9.350,NATS GAU 2,3
,,
,,
,,
,,
TRAINING HOURS,,6
,,
DAY 105,,
EVENT,TYPE,HOURS
A10.060,MSN PLN,3
A10.070,CST 0,4
,,
,,
,,
,,
TRAINING HOURS,,7
,,
DAY 110,,
EVENT,TYPE,HOURS
A10.140,MSN PLN,3
A10.150,CST 4,4
,,
TRAINING HOURS,,7
,,
DAY 115,,
EVENT,TYPE,HOURS
A11.010,CAI,2
A11.020,IMAT,2
A11.030,CAI,2
A11.040,IMAT,2
TRAINING HOURS,,8
,,
DAY 120,,
EVENT,TYPE,HOURS
A12.060,CAI,2.5
A12.070,JMPS 4,1.5
A12.080,JMPS 5,1.5
A12.090,PTT 8,1
A12.100,PTT 9,2
,,
,,
TRAINING HOURS,,8.5
,,
DAY 125,,
EVENT,TYPE,HOURS
A12.220,MSN PLN,3
A12.230,WTT 13,4
,,
,,
TRAINING HOURS,,7
,,
DAY 130,,
EVENT,TYPE,HOURS
A13.120,MSN PLN,3
A13.130,WTT 14,4
,,
,,
,,
TRAINING HOURS,,7
,,
DAY 135,,
EVENT,TYPE,HOURS
A13.230,MSN PLN,3
A13.240,WTT 17,4
,,
TRAINING HOURS,,7
,,
DAY 140,,
EVENT,TYPE,HOURS
A14.140,MSN PLN,3
A14.150,AC ASW1/DIP 1,5
,,
,,
TRAINING HOURS,,8
,,
DAY 145,,
EVENT,TYPE,HOURS
A15.030,MSN PLN,3
A15.040,WTT 24,4
,,
,,
TRAINING HOURS,,7
,,
DAY 150,,
EVENT,TYPE,HOURS
A16.010,ICW,2.5
A16.020,CAI,3
A16.030,ICW,2.5
TRAINING HOURS,,8
,,
DAY 155,,
EVENT,TYPE,HOURS
A16.130,ICW,3
A16.160,ICW,3
,,
TRAINING HOURS,,6
,,
DAY 160,,
EVENT,TYPE,HOURS
A17.050,MSN PLN,3
A17.060,AC DIP 4,5
,,
TRAINING HOURS,,8
,,
DAY 165,,
EVENT,TYPE,HOURS
A17.190,MSN PLN,
A17.200,CST 14X,
,,
